timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747812355972,180,Login,200,OK,Group 1 1-9,text,true,,1471,521,20,20,http://54.188.175.189:8065/api/v4/users/login,179,0,35
1747812355976,696,Login,200,OK,Group 1 1-12,text,true,,1467,519,20,20,http://54.188.175.189:8065/api/v4/users/login,696,0,31
1747812355977,427,Login,200,OK,Group 1 1-4,text,true,,1470,520,20,20,http://54.188.175.189:8065/api/v4/users/login,427,0,30
1747812355978,778,Login,200,OK,Group 1 1-15,text,true,,1469,521,20,20,http://54.188.175.189:8065/api/v4/users/login,778,0,29
1747812355975,868,Login,200,OK,Group 1 1-20,text,true,,1476,523,20,20,http://54.188.175.189:8065/api/v4/users/login,868,0,32
1747812355977,242,Login,200,OK,Group 1 1-16,text,true,,1466,518,20,20,http://54.188.175.189:8065/api/v4/users/login,242,0,30
1747812355975,328,Login,200,OK,Group 1 1-3,text,true,,1470,521,20,20,http://54.188.175.189:8065/api/v4/users/login,328,0,32
1747812355971,618,Login,200,OK,Group 1 1-6,text,true,,1473,523,20,20,http://54.188.175.189:8065/api/v4/users/login,618,0,36
1747812355972,505,Login,200,OK,Group 1 1-17,text,true,,1467,520,20,20,http://54.188.175.189:8065/api/v4/users/login,505,0,35
1747812355974,945,Login,200,OK,Group 1 1-18,text,true,,1466,519,20,20,http://54.188.175.189:8065/api/v4/users/login,945,0,33
1747812355976,1040,Login,200,OK,Group 1 1-2,text,true,,1472,523,20,20,http://54.188.175.189:8065/api/v4/users/login,1040,0,31
1747812355972,1118,Login,200,OK,Group 1 1-19,text,true,,1465,517,20,20,http://54.188.175.189:8065/api/v4/users/login,1118,0,35
1747812355977,1216,Login,200,OK,Group 1 1-10,text,true,,1469,521,20,20,http://54.188.175.189:8065/api/v4/users/login,1216,0,30
1747812355975,1307,Login,200,OK,Group 1 1-13,text,true,,1469,516,20,20,http://54.188.175.189:8065/api/v4/users/login,1307,0,32
1747812355974,1390,Login,200,OK,Group 1 1-11,text,true,,1470,520,20,20,http://54.188.175.189:8065/api/v4/users/login,1390,0,33
1747812355977,1473,Login,200,OK,Group 1 1-8,text,true,,1471,521,20,20,http://54.188.175.189:8065/api/v4/users/login,1473,0,30
1747812355971,1575,Login,200,OK,Group 1 1-1,text,true,,1469,521,20,20,http://54.188.175.189:8065/api/v4/users/login,1575,0,36
1747812355976,1645,Login,200,OK,Group 1 1-14,text,true,,1470,522,20,20,http://54.188.175.189:8065/api/v4/users/login,1645,0,31
1747812355975,1726,Login,200,OK,Group 1 1-5,text,true,,1471,522,20,20,http://54.188.175.189:8065/api/v4/users/login,1726,0,32
